,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
5,67,Male,New York,15,82.65,456,1
7,67,Female,Miami,1,97.7,396,1
23,70,Male,Los Angeles,4,51.21,389,1
32,66,Female,Miami,3,61.1,151,1
36,66,Female,Chicago,15,59.0,278,1
48,66,Male,New York,15,70.41,135,0
57,70,Male,Los Angeles,3,75.58,67,1
64,70,Male,New York,7,62.67,371,1
66,67,Male,Miami,24,57.31,376,1
84,69,Female,New York,8,35.13,321,0
92,67,Male,Chicago,15,45.59,115,1
103,65,Female,Chicago,15,31.35,471,0
111,70,Male,New York,24,34.53,236,0
123,67,Female,Chicago,5,39.68,344,0
127,69,Female,Chicago,9,87.5,196,1
128,66,Male,Houston,9,71.4,365,0
157,68,Male,New York,7,92.9,199,1
162,68,Female,Miami,5,40.9,496,0
166,66,Male,Houston,20,35.34,400,1
174,66,Female,Houston,21,71.73,231,0
183,70,Female,Houston,6,42.26,100,1
210,65,Male,Chicago,19,93.59,311,0
219,66,Female,New York,16,87.64,390,1
222,69,Male,Los Angeles,21,82.39,115,1
237,68,Male,Miami,24,60.59,269,0
241,67,Female,New York,1,50.04,488,1
242,70,Male,Miami,24,93.55,497,1
247,69,Male,Los Angeles,3,90.34,271,1
253,68,Female,Houston,16,32.89,76,0
260,70,Female,Miami,15,75.99,73,0
275,68,Male,Los Angeles,21,49.44,149,1
281,70,Female,New York,3,74.1,211,1
307,65,Male,Miami,9,40.35,488,1
311,68,Male,Los Angeles,16,81.03,82,1
326,67,Female,Chicago,1,88.86,405,0
334,69,Female,Los Angeles,12,53.13,446,1
341,68,Female,Chicago,6,69.57,419,1
350,65,Female,Houston,3,86.01,192,1
356,69,Female,Los Angeles,20,98.93,469,0
357,66,Male,Miami,14,94.58,453,0
374,67,Male,Miami,15,98.38,95,1
378,65,Female,Chicago,8,33.59,58,0
415,68,Female,Los Angeles,2,96.19,94,0
421,65,Female,Chicago,22,63.56,410,0
427,66,Female,Miami,5,64.77,489,0
431,67,Female,Houston,15,92.03,208,0
436,65,Male,Los Angeles,15,82.08,89,0
438,65,Female,Houston,19,95.71,393,1
440,66,Male,New York,8,61.34,297,1
456,65,Female,Miami,16,42.28,138,0
462,70,Female,Miami,5,62.49,354,0
514,65,Male,Houston,10,89.22,177,1
519,66,Male,Chicago,21,71.27,449,0
544,69,Female,Los Angeles,16,44.71,254,0
577,70,Male,Houston,23,58.87,144,1
583,66,Male,Houston,20,32.05,403,1
596,68,Male,Houston,7,85.76,132,1
615,65,Male,Houston,12,53.89,172,1
620,70,Female,Houston,3,37.57,225,0
627,67,Female,Miami,5,82.11,498,1
660,67,Female,Chicago,8,56.41,380,0
700,65,Female,Houston,15,99.2,237,0
721,67,Female,Chicago,24,40.86,182,1
743,68,Male,New York,4,88.24,322,0
763,65,Male,Chicago,2,48.83,62,1
780,69,Female,Chicago,13,42.81,431,0
806,66,Female,Los Angeles,9,64.18,449,0
808,70,Male,New York,8,63.88,449,0
810,68,Male,Houston,20,80.01,484,0
881,68,Female,Miami,6,34.58,149,1
888,65,Male,Houston,10,65.6,400,0
901,65,Female,Chicago,7,66.11,163,0
902,66,Female,Chicago,23,31.17,73,1
926,68,Male,New York,19,39.02,343,0
932,70,Female,Chicago,3,67.63,278,0
933,68,Female,Miami,23,68.46,386,1
934,68,Female,New York,22,54.56,393,0
942,65,Female,New York,15,51.64,330,0
948,69,Male,Miami,17,76.65,419,1
962,69,Female,Chicago,4,72.62,222,1
963,65,Male,Houston,17,31.76,53,1
966,67,Female,Chicago,12,39.02,114,0
967,67,Female,Houston,1,63.85,324,1
976,69,Male,New York,8,32.49,77,0
983,67,Male,Houston,9,86.39,154,0
990,68,Female,Miami,22,84.18,228,0
1011,70,Female,Chicago,13,40.9,138,0
1013,70,Male,Chicago,13,31.11,376,1
1014,67,Female,Chicago,14,64.76,357,0
1021,66,Male,Houston,2,80.6,382,0
1028,68,Male,Chicago,1,62.92,480,0
1033,66,Female,Houston,20,32.16,299,0
1045,70,Male,Los Angeles,15,58.42,197,1
1047,67,Female,Los Angeles,24,40.19,397,1
1053,67,Female,Miami,8,67.31,381,0
1061,70,Male,Chicago,21,36.67,258,1
1068,65,Male,Miami,15,86.7,139,1
1069,69,Male,Miami,18,84.07,468,1
1079,68,Female,New York,17,82.86,137,0
1081,70,Female,Los Angeles,20,40.85,292,0
1114,70,Female,Chicago,8,47.9,220,0
1122,67,Male,Houston,11,72.45,150,1
1132,70,Female,Houston,15,85.58,150,1
1159,68,Female,Miami,17,99.17,444,0
1177,68,Male,Los Angeles,4,82.43,112,1
1182,65,Female,New York,1,35.41,57,0
1183,67,Female,Houston,6,61.12,359,1
1188,66,Female,Los Angeles,2,53.59,410,0
1192,65,Female,Houston,18,35.06,221,1
1210,69,Female,New York,15,98.89,316,0
1228,68,Male,Chicago,17,99.28,286,1
1238,67,Female,New York,13,89.86,173,1
1246,66,Male,Houston,11,74.91,175,0
1251,70,Female,Chicago,19,82.38,452,0
1252,67,Female,Chicago,6,45.54,63,1
1262,70,Male,Los Angeles,14,35.6,351,0
1271,69,Male,Chicago,24,79.17,314,0
1280,70,Female,New York,4,70.38,156,1
1301,66,Female,New York,18,43.25,218,0
1310,65,Female,Miami,10,44.31,382,1
1359,66,Male,Chicago,7,90.87,232,1
1364,68,Male,Houston,5,93.39,317,1
1378,70,Female,New York,7,46.36,131,1
1387,67,Female,Houston,17,33.13,432,0
1403,65,Female,New York,6,57.39,480,0
1404,69,Male,Los Angeles,19,83.26,109,0
1421,65,Male,Los Angeles,22,73.64,69,0
1427,70,Male,Los Angeles,12,43.52,218,1
1430,65,Male,Houston,9,49.8,411,1
1432,65,Male,Houston,1,93.11,481,1
1434,65,Male,Los Angeles,10,41.65,185,0
1460,70,Male,Los Angeles,5,95.87,79,0
1474,70,Female,Houston,14,83.09,318,0
1478,65,Female,Houston,18,98.68,144,0
1491,68,Female,Chicago,7,46.29,272,1
1494,65,Female,New York,6,75.99,387,1
1500,69,Female,Houston,10,74.43,211,1
1505,69,Male,Houston,24,87.46,61,0
1528,69,Female,New York,22,53.48,439,1
1529,68,Male,New York,17,45.91,164,1
1539,66,Male,Miami,5,33.14,115,0
1594,70,Female,Chicago,15,79.71,283,0
1605,68,Female,New York,1,42.01,186,1
1616,69,Female,Houston,9,68.16,448,0
1620,70,Male,Miami,12,44.21,364,1
1625,67,Female,New York,3,41.09,139,0
1630,69,Female,Houston,13,37.13,471,0
1633,65,Female,New York,17,39.61,430,0
1637,69,Male,Miami,24,58.18,54,1
1651,67,Female,Houston,5,39.06,153,0
1668,70,Male,Houston,1,31.81,493,1
1672,70,Male,Houston,4,34.58,318,0
1680,67,Male,Houston,1,88.99,372,0
1714,68,Female,Los Angeles,11,44.77,393,0
1718,69,Female,New York,1,78.54,268,1
1723,69,Female,Houston,1,87.94,251,0
1745,68,Female,Houston,4,83.63,130,0
1746,70,Male,Miami,11,86.31,444,1
1748,69,Female,Miami,13,96.48,457,0
1764,69,Male,Miami,17,91.21,106,0
1775,66,Female,Houston,6,53.6,482,1
1776,66,Male,Miami,11,75.9,266,1
1790,65,Male,Chicago,23,64.16,484,1
1791,68,Female,Miami,11,47.57,397,0
1797,66,Female,Chicago,23,64.02,343,1
1802,70,Male,Miami,13,62.38,209,0
1803,68,Female,New York,19,38.19,239,0
1804,70,Female,Chicago,23,46.87,183,0
